Date,Open,High,Low,Close,Volume
2024-01-02,2800.0,2801.0,2799.0,2800.0,10000
2024-01-03,2800.0,2801.0,2799.0,2800.0,10000
2024-01-04,2800.0,2801.0,2799.0,2800.0,10000
2024-01-05,2800.0,2801.0,2799.0,2800.0,10000
2024-01-08,2800.0,2801.0,2799.0,2800.0,10000
2024-01-09,2800.0,2801.0,2799.0,2800.0,10000
2024-01-10,2800.0,2801.0,2799.0,2800.0,10000
2024-01-11,2800.0,2801.0,2799.0,2800.0,10000
2024-01-12,2800.0,2801.0,2799.0,2800.0,10000
2024-01-15,2800.0,2801.0,2799.0,2800.0,10000
2024-01-16,2825,2826,2824,2825,10000
2024-01-17,2850,2851,2849,2850,10000
2024-01-18,2875,2876,2874,2875,10000
2024-01-19,2900,2901,2899,2900,10000
2024-01-22,2925,2926,2924,2925,10000
2024-01-23,2950,2951,2949,2950,10000
2024-01-24,2975,2976,2974,2975,10000
2024-01-25,3000,3001,2999,3000,10000
2024-01-26,3025,3026,3024,3025,10000
2024-01-29,3050,3051,3049,3050,10000
2024-01-30,3038,3039,3037,3038,10000
2024-01-31,3026,3027,3025,3026,10000
2024-02-01,3014,3015,3013,3014,10000
2024-02-02,3002,3003,3001,3002,10000
2024-02-05,2990,2991,2989,2990,10000
2024-02-06,2978,2979,2977,2978,10000
2024-02-07,2966,2967,2965,2966,10000
2024-02-08,2954,2955,2953,2954,10000
2024-02-09,2942,2943,2941,2942,10000
2024-02-12,2930,2931,2929,2930,10000
